Address,longitude,latitude,precinct,rank,Action_rank,cboard,InAction_Rate,total,Median_Minutes,Mean_Minutes,min0->5,min5->30,min30->60,min60->360,min360+,Response_Miss,Response_No-Action,Response_Action,Response_Summon
299 Adams Street,-73.98886420159037,40.694459630049764,84,High,Medium,302.0,0.66,450.0,70.85,77.69,26.0,66.0,99.0,259.0,0.0,178.0,117.0,153.0,2.0
283 Adams Street,-73.98885334596429,40.69468195522714,84,High,Medium,302.0,0.72,75.0,69.78,81.81,0.0,11.0,22.0,42.0,0.0,36.0,18.0,19.0,2.0
55 Johnson Street,-73.98820778478213,40.695008518302615,84,High,Medium,302.0,0.54,54.0,69.48,89.31,1.0,9.0,14.0,30.0,0.0,16.0,13.0,17.0,8.0
33-00 Northern Boulevard,-73.9310990962687,40.75198615407519,114,High,Medium,401.0,0.62,68.0,67.52,136.92,2.0,14.0,14.0,32.0,6.0,29.0,13.0,23.0,3.0
345 Adams Street,-73.98891486387227,40.69340015431026,84,High,Medium,302.0,0.53,1085.0,65.82,85.34,48.0,207.0,238.0,584.0,9.0,325.0,248.0,440.0,73.0
331 Adams Street,-73.98890400721724,40.693630713827794,84,High,Medium,302.0,0.64,67.0,65.47,82.85,2.0,16.0,13.0,36.0,0.0,22.0,21.0,22.0,2.0
1-50 51 Avenue,-73.95919555428878,40.74295558581093,108,High,Low,402.0,0.5,54.0,60.72,90.69,2.0,15.0,10.0,25.0,2.0,15.0,12.0,22.0,5.0
360 Adams Street,-73.98890392545164,40.69412202737985,84,Medium,Medium,302.0,0.69,173.0,55.48,68.89,11.0,29.0,49.0,84.0,0.0,83.0,37.0,51.0,2.0
545 Vanderbilt Avenue,-73.96760471057662,40.682131589537796,88,Medium,High,302.0,0.81,64.0,53.5,80.22,2.0,14.0,19.0,28.0,1.0,26.0,26.0,12.0,0.0
111 East   55 Street,-73.97102852434027,40.76003973225662,18,Medium,High,105.0,0.79,113.0,51.87,91.61,0.0,27.0,37.0,46.0,3.0,23.0,66.0,24.0,0.0
2110 Grand Concourse,-73.9021976575287,40.85415965931286,46,Medium,High,205.0,0.77,75.0,50.1,77.52,2.0,21.0,26.0,23.0,3.0,17.0,41.0,13.0,4.0
73-20 Broadway,-73.89169796512067,40.746776503782655,110,Medium,Low,404.0,0.36,123.0,49.8,76.89,7.0,28.0,37.0,46.0,5.0,11.0,33.0,78.0,1.0
211 72 Street,-74.02903566093231,40.63401923020249,68,Medium,Medium,310.0,0.6,103.0,49.13,74.35,2.0,26.0,34.0,39.0,2.0,41.0,21.0,40.0,1.0
2256 Grand Concourse,-73.90037922922777,40.8566914645503,46,Medium,Medium,205.0,0.66,89.0,48.82,71.24,5.0,21.0,28.0,35.0,1.0,20.0,39.0,18.0,13.0
1-50 50 Avenue,-73.95887755839249,40.74364166035955,108,Medium,Low,402.0,0.43,58.0,48.34,84.81,0.0,12.0,23.0,22.0,1.0,10.0,15.0,20.0,13.0
2470 Grand Concourse,-73.89752652370723,40.861714514609645,46,Medium,High,205.0,0.83,109.0,45.6,66.01,4.0,37.0,26.0,41.0,1.0,28.0,62.0,11.0,8.0
585 Dean Street,-73.97036354248364,40.68070230650247,78,Medium,Low,308.0,0.44,81.0,41.72,43.5,2.0,19.0,46.0,14.0,0.0,22.0,14.0,43.0,2.0
180 9 Street,-73.99164738973691,40.67175236567418,78,Medium,Low,306.0,0.34,97.0,41.3,44.88,8.0,27.0,49.0,18.0,0.0,17.0,16.0,69.0,0.0
1838 Grand Concourse,-73.90729947675985,40.84802671089349,46,Medium,Medium,205.0,0.69,68.0,41.14,105.74,2.0,12.0,25.0,25.0,4.0,22.0,25.0,9.0,12.0
211 Mcguinness Boulevard,-73.9509702072562,40.72952504407939,94,Medium,High,301.0,0.77,78.0,40.55,54.74,6.0,29.0,12.0,34.0,0.0,8.0,52.0,12.0,9.0
99 Prince Street,-73.99892126942073,40.72480900674262,1,Medium,Medium,102.0,0.65,63.0,37.15,40.95,3.0,23.0,25.0,12.0,0.0,36.0,5.0,20.0,2.0
595 Dean Street,-73.97013281848764,40.680652840928126,78,Medium,Low,308.0,0.42,571.0,36.28,44.05,32.0,191.0,236.0,110.0,2.0,123.0,118.0,322.0,8.0
233 Spring Street,-74.00473708929748,40.725582935878776,1,Medium,High,102.0,0.9,52.0,35.92,49.86,1.0,23.0,19.0,8.0,1.0,38.0,9.0,5.0,0.0
284 St Nicholas Avenue,-73.95291921745444,40.81029531682005,28,Medium,Medium,110.0,0.69,64.0,35.92,70.15,2.0,27.0,20.0,14.0,2.0,17.0,27.0,20.0,1.0
180 Central Park West,-73.9730634642241,40.78019759442051,20,Medium,High,107.0,0.8,84.0,35.7,34.04,4.0,34.0,44.0,2.0,0.0,1.0,66.0,17.0,0.0
635 West   59 Street,-73.99199942830761,40.772279153702485,20,Medium,Low,107.0,0.17,60.0,35.47,43.01,0.0,24.0,24.0,12.0,0.0,2.0,8.0,44.0,6.0
465 Dean Street,-73.97516557317829,40.68170528524948,78,Medium,Medium,306.0,0.75,51.0,33.88,42.34,1.0,20.0,19.0,11.0,0.0,19.0,19.0,13.0,0.0
532 Neptune Avenue,-73.9730254612614,40.57986766144209,60,Medium,Low,313.0,0.38,86.0,33.84,38.13,2.0,34.0,42.0,12.0,0.0,16.0,17.0,44.0,13.0
1902 7 Avenue,-73.95295352214427,40.802648528357416,28,Medium,High,110.0,0.86,183.0,33.67,67.88,21.0,82.0,50.0,65.0,4.0,62.0,96.0,64.0,0.0
188 Central Park West,-73.97273831058806,40.78064216509995,20,Medium,High,107.0,0.78,118.0,33.25,36.24,5.0,41.0,57.0,15.0,0.0,5.0,87.0,26.0,0.0
2102 Grand Concourse,-73.90225198049997,40.85409108775603,46,Medium,High,205.0,0.83,82.0,32.2,64.47,10.0,30.0,14.0,25.0,3.0,13.0,55.0,6.0,8.0
151 Avenue C,-73.97780460597261,40.72553423319804,9,Medium,High,103.0,0.8,60.0,31.77,40.13,2.0,27.0,26.0,10.0,0.0,20.0,28.0,16.0,1.0
614 Bergen Street,-73.96940498242898,40.67965904175936,78,Medium,Medium,308.0,0.52,116.0,31.74,44.34,9.0,43.0,37.0,27.0,0.0,23.0,37.0,56.0,0.0
250 East Houston Street,-73.98532051639553,40.721937059265606,9,Medium,High,103.0,0.79,75.0,31.58,53.14,1.0,34.0,26.0,13.0,1.0,32.0,27.0,15.0,1.0
177 Prince Street,-74.0019410368931,40.726299398517604,1,Medium,Medium,102.0,0.63,59.0,30.48,44.94,1.0,28.0,22.0,7.0,1.0,30.0,7.0,20.0,2.0
645 West   59 Street,-73.99215466662008,40.77234229336695,20,Medium,Low,107.0,0.38,141.0,30.42,37.61,2.0,67.0,48.0,24.0,0.0,6.0,48.0,72.0,15.0
75 Central Park West,-73.97806306222111,40.773347791259134,20,Medium,Low,107.0,0.2,66.0,30.15,28.69,1.0,32.0,31.0,2.0,0.0,6.0,7.0,48.0,5.0
1925 7 Avenue,-73.95236059020847,40.803433276488676,28,Low,High,110.0,0.85,54.0,29.2,58.09,3.0,29.0,16.0,12.0,2.0,20.0,26.0,15.0,1.0
644 Vanderbilt Avenue,-73.96910696396306,40.677013000059794,78,Low,High,308.0,0.91,124.0,29.1,46.1,4.0,59.0,45.0,14.0,2.0,42.0,71.0,11.0,0.0
119 Central Park West,-73.97588850767461,40.77632814193197,20,Low,Medium,107.0,0.56,52.0,29.05,35.52,2.0,28.0,16.0,8.0,0.0,10.0,19.0,19.0,6.0
345 7 Avenue,-73.9819551883835,40.666426386619875,78,Low,High,306.0,0.79,188.0,27.94,36.38,12.0,89.0,58.0,29.0,0.0,92.0,56.0,40.0,0.0
303 East   61 Street,-73.96319451279685,40.76176942895908,19,Low,High,108.0,0.92,99.0,27.92,38.48,12.0,45.0,22.0,20.0,0.0,33.0,58.0,8.0,0.0
56 Avenue C,-73.9799774257181,40.72252637710556,9,Low,Medium,103.0,0.56,57.0,27.83,41.49,3.0,29.0,14.0,11.0,0.0,8.0,24.0,23.0,2.0
340 7 Avenue,-73.98183618903238,40.66659654411043,78,Low,High,306.0,0.76,161.0,27.67,33.22,20.0,65.0,57.0,19.0,0.0,78.0,45.0,38.0,0.0
226 4 Avenue,-73.98315639991446,40.67726568902946,78,Low,Medium,306.0,0.56,70.0,27.53,37.71,5.0,32.0,32.0,1.0,1.0,16.0,23.0,32.0,0.0
1862 7 Avenue,-73.95401284506454,40.80119699550897,28,Low,High,110.0,0.77,52.0,27.19,35.82,5.0,25.0,14.0,8.0,0.0,18.0,22.0,12.0,0.0
1890 7 Avenue,-73.95324276081412,40.80225340545579,28,Low,Medium,110.0,0.69,181.0,26.79,42.71,35.0,77.0,39.0,37.0,0.0,38.0,87.0,63.0,0.0
114 Stanton Street,-73.98735538053971,40.72111661790732,7,Low,Low,103.0,0.32,63.0,26.48,31.6,3.0,34.0,23.0,3.0,0.0,13.0,7.0,40.0,3.0
306 East   61 Street,-73.9630754275603,40.76170077227129,19,Low,High,108.0,0.78,76.0,26.22,30.01,14.0,39.0,17.0,6.0,0.0,19.0,40.0,17.0,0.0
461 Dean Street,-73.9753061750344,40.68173550800958,78,Low,Medium,306.0,0.71,51.0,24.58,33.54,9.0,18.0,17.0,7.0,0.0,14.0,22.0,15.0,0.0
209 Central Park West,-73.97165804233954,40.78212955087735,20,Low,Low,107.0,0.24,51.0,24.1,28.55,2.0,32.0,12.0,5.0,0.0,6.0,6.0,27.0,12.0
47-20 Center Boulevard,-73.95713681920898,40.74564743800411,108,Low,Low,402.0,0.43,190.0,24.08,34.16,16.0,91.0,59.0,24.0,0.0,5.0,76.0,107.0,2.0
46-10 Center Boulevard,-73.95640328649877,40.74705521915176,108,Low,Low,402.0,0.42,187.0,24.02,33.83,15.0,89.0,63.0,19.0,1.0,6.0,72.0,105.0,4.0
25 St Nicholas Avenue,-73.95244648524235,40.79948913966764,28,Low,High,110.0,0.77,145.0,23.75,38.41,20.0,68.0,38.0,19.0,0.0,39.0,73.0,32.0,1.0
46-15 Center Boulevard,-73.9563779030925,40.74723910773346,108,Low,Low,402.0,0.42,184.0,23.72,35.09,14.0,90.0,60.0,19.0,1.0,7.0,71.0,106.0,0.0
46-30 Center Boulevard,-73.95650820907728,40.746654525427516,108,Low,Low,402.0,0.41,176.0,23.16,31.11,16.0,82.0,59.0,19.0,0.0,3.0,70.0,103.0,0.0
255 East Houston Street,-73.9851257210389,40.72186018102813,7,Low,Low,103.0,0.49,61.0,22.8,28.24,1.0,40.0,16.0,4.0,0.0,14.0,16.0,28.0,3.0
44-36 Vernon Boulevard,-73.95223322208895,40.74938385696626,108,Low,Medium,402.0,0.51,133.0,22.07,31.83,7.0,69.0,42.0,15.0,0.0,13.0,55.0,65.0,0.0
138 7 Avenue,-73.9766144630082,40.67286741589369,78,Low,High,306.0,0.77,52.0,21.9,25.15,11.0,25.0,13.0,3.0,0.0,15.0,25.0,12.0,0.0
223 4 Avenue,-73.98326821208276,40.67706533682685,78,Low,Medium,306.0,0.55,89.0,21.88,28.98,18.0,37.0,30.0,6.0,0.0,20.0,29.0,42.0,0.0
76 East  119 Street,-73.94262409319579,40.80156791710398,25,Low,Medium,111.0,0.75,77.0,20.95,30.57,10.0,43.0,21.0,1.0,2.0,22.0,36.0,19.0,0.0
173 7 Avenue,-73.97762427772089,40.67161874369965,78,Low,High,306.0,0.79,62.0,20.92,23.22,17.0,23.0,20.0,3.0,0.0,18.0,31.0,14.0,0.0
556 West  110 Street,-73.9661114477225,40.80390748706629,24,Low,Medium,107.0,0.59,83.0,20.0,21.42,3.0,64.0,18.0,1.0,0.0,3.0,46.0,36.0,1.0
1889 7 Avenue,-73.9532536314845,40.802204004790006,28,Low,High,110.0,0.78,69.0,19.97,27.56,8.0,42.0,13.0,6.0,0.0,9.0,45.0,15.0,0.0
205 Smith Street,-73.99168540420952,40.68490532433471,76,Low,High,306.0,0.92,61.0,19.17,24.96,5.0,36.0,17.0,3.0,0.0,34.0,22.0,5.0,0.0
47-40 Center Boulevard,-73.9574257294692,40.745340133185714,108,Low,Low,402.0,0.37,87.0,18.58,26.32,4.0,53.0,24.0,6.0,0.0,2.0,30.0,55.0,0.0
315 7 Avenue,-73.98125925906994,40.66726068774556,78,Low,Low,306.0,0.47,122.0,18.02,22.76,25.0,61.0,28.0,8.0,0.0,21.0,36.0,65.0,0.0
45-02 Vernon Boulevard,-73.95221942932949,40.74848631848375,108,Low,Low,402.0,0.48,170.0,17.66,27.23,19.0,96.0,39.0,16.0,0.0,9.0,72.0,89.0,0.0
45-22 Vernon Boulevard,-73.95242566806593,40.74775630066568,108,Low,Low,402.0,0.47,161.0,16.52,25.84,18.0,90.0,39.0,14.0,0.0,8.0,68.0,85.0,0.0
320 7 Avenue,-73.98129170351517,40.66725245869395,78,Low,Low,306.0,0.46,133.0,15.85,23.1,33.0,58.0,34.0,8.0,0.0,18.0,43.0,71.0,1.0
23-09 49 Avenue,-73.94674599248864,40.74205296856065,108,Low,Low,402.0,0.47,209.0,14.87,23.75,35.0,114.0,41.0,19.0,0.0,11.0,88.0,108.0,2.0
315 East   62 Street,-73.96245060850165,40.76227696637641,19,Low,High,108.0,0.91,104.0,3.26,23.54,64.0,18.0,8.0,14.0,0.0,13.0,82.0,9.0,0.0
